# x1 v1
0.000 0.000 0.043 0.087 0.130 0.173 0.216 0.259 0.301 0.344 0.387 0.429 0.472 0.515 0.559 0.603 0.647 0.694 0.743 0.795 0.853 0.919 1.000 1.000 1.000 0.964 0.935 0.909 0.886 0.865 0.845 0.824 0.805 0.786 0.768 0.752 0.736 0.722 0.708 0.696 0.684 0.674 0.665 0.657 0.650 0.644 0.640 0.636 0.634 0.633 0.633 0.634 0.636 0.640 0.644 0.650 0.657 0.665 0.674 0.684 0.696 0.708 0.722 0.736 0.752 0.768 0.786 0.805 0.824 0.845 0.865 0.886 0.909 0.935 0.964 1.000 1.000 1.000 0.920 0.854 0.797 0.745 0.696 0.651 0.607 0.565 0.523 0.482 0.441 0.400 0.360 0.320 0.280 0.240 0.200 0.160 0.120 0.080 0.040 0.000
0.000 0.000 0.048 0.096 0.145 0.192 0.240 0.288 0.335 0.382 0.429 0.476 0.523 0.571 0.618 0.665 0.713 0.762 0.814 0.869 0.931 1.000 1.000 0.971 0.950 0.923 0.896 0.871 0.847 0.825 0.803 0.783 0.763 0.744 0.726 0.709 0.693 0.679 0.665 0.653 0.641 0.631 0.622 0.613 0.607 0.601 0.596 0.593 0.590 0.589 0.589 0.591 0.593 0.596 0.601 0.607 0.613 0.622 0.631 0.641 0.652 0.665 0.679 0.693 0.709 0.726 0.744 0.763 0.782 0.803 0.825 0.847 0.871 0.896 0.923 0.950 0.971 1.000 1.000 0.931 0.870 0.815 0.765 0.717 0.670 0.624 0.579 0.533 0.489 0.444 0.400 0.356 0.311 0.267 0.223 0.178 0.134 0.089 0.045 0.000
0.000 0.000 0.053 0.107 0.160 0.212 0.265 0.317 0.369 0.421 0.472 0.523 0.575 0.626 0.677 0.728 0.778 0.828 0.881 0.937 1.000 0.975 0.956 0.932 0.908 0.882 0.856 0.831 0.807 0.784 0.762 0.741 0.721 0.702 0.684 0.667 0.651 0.636 0.623 0.610 0.599 0.588 0.579 0.571 0.564 0.559 0.554 0.551 0.548 0.547 0.547 0.548 0.551 0.554 0.559 0.564 0.571 0.579 0.588 0.599 0.610 0.623 0.636 0.651 0.667 0.684 0.702 0.721 0.741 0.762 0.784 0.807 0.831 0.856 0.882 0.908 0.932 0.956 0.975 1.000 0.938 0.882 0.830 0.781 0.733 0.683 0.634 0.585 0.536 0.488 0.439 0.391 0.343 0.294 0.245 0.197 0.148 0.098 0.049 0.000
0.000 0.000 0.058 0.117 0.175 0.233 0.290 0.347 0.404 0.460 0.515 0.571 0.626 0.681 0.737 0.791 0.844 0.891 0.943 1.000 0.970 0.943 0.919 0.894 0.868 0.842 0.817 0.791 0.767 0.744 0.722 0.700 0.680 0.661 0.643 0.626 0.610 0.595 0.581 0.569 0.558 0.547 0.538 0.530 0.523 0.518 0.513 0.510 0.507 0.506 0.506 0.507 0.510 0.513 0.517 0.523 0.530 0.538 0.547 0.558 0.569 0.581 0.595 0.610 0.626 0.643 0.661 0.680 0.700 0.722 0.744 0.767 0.791 0.817 0.842 0.868 0.894 0.919 0.943 0.970 1.000 0.944 0.893 0.846 0.796 0.743 0.689 0.636 0.584 0.532 0.479 0.427 0.374 0.322 0.269 0.215 0.162 0.108 0.054 0.000
0.000 0.000 0.064 0.127 0.191 0.253 0.316 0.378 0.439 0.499 0.559 0.618 0.677 0.737 0.797 0.858 0.913 0.951 1.000 0.968 0.938 0.910 0.883 0.856 0.830 0.803 0.777 0.752 0.728 0.704 0.682 0.660 0.640 0.621 0.603 0.586 0.570 0.555 0.541 0.529 0.518 0.507 0.498 0.490 0.484 0.478 0.474 0.470 0.468 0.467 0.467 0.468 0.470 0.473 0.478 0.484 0.490 0.498 0.507 0.517 0.529 0.541 0.555 0.570 0.586 0.603 0.621 0.640 0.660 0.682 0.704 0.728 0.752 0.777 0.803 0.830 0.856 0.883 0.910 0.938 0.968 1.000 0.952 0.915 0.861 0.802 0.744 0.687 0.631 0.575 0.519 0.463 0.407 0.349 0.292 0.234 0.176 0.117 0.059 0.000
0.000 0.000 0.069 0.138 0.207 0.275 0.342 0.409 0.474 0.539 0.603 0.665 0.728 0.791 0.858 0.929 1.000 1.000 0.967 0.936 0.905 0.875 0.847 0.819 0.792 0.765 0.739 0.713 0.689 0.665 0.643 0.621 0.601 0.582 0.564 0.547 0.531 0.516 0.503 0.490 0.479 0.469 0.460 0.452 0.446 0.440 0.436 0.432 0.430 0.429 0.429 0.430 0.432 0.436 0.440 0.446 0.452 0.460 0.469 0.479 0.490 0.503 0.516 0.531 0.546 0.564 0.582 0.601 0.621 0.643 0.665 0.689 0.713 0.739 0.765 0.792 0.819 0.847 0.875 0.905 0.936 0.967 1.000 1.000 0.931 0.862 0.798 0.738 0.679 0.620 0.560 0.500 0.439 0.378 0.316 0.253 0.190 0.127 0.064 0.000
0.000 0.000 0.075 0.149 0.224 0.297 0.370 0.441 0.511 0.580 0.647 0.713 0.778 0.844 0.913 1.000 1.000 0.967 0.934 0.902 0.871 0.841 0.811 0.783 0.755 0.728 0.701 0.676 0.651 0.627 0.605 0.583 0.563 0.544 0.526 0.509 0.493 0.479 0.465 0.453 0.442 0.432 0.423 0.416 0.409 0.404 0.399 0.396 0.394 0.393 0.393 0.394 0.396 0.399 0.404 0.409 0.416 0.423 0.432 0.442 0.453 0.465 0.479 0.493 0.509 0.526 0.544 0.563 0.583 0.605 0.627 0.651 0.676 0.701 0.728 0.755 0.783 0.811 0.841 0.871 0.902 0.934 0.967 1.000 1.000 0.916 0.849 0.787 0.726 0.664 0.601 0.538 0.473 0.407 0.340 0.273 0.205 0.137 0.069 0.000
0.000 0.000 0.081 0.161 0.241 0.320 0.398 0.475 0.550 0.623 0.694 0.762 0.828 0.891 0.951 1.000 0.967 0.934 0.901 0.869 0.837 0.806 0.776 0.747 0.719 0.691 0.664 0.639 0.614 0.590 0.568 0.546 0.526 0.507 0.489 0.472 0.457 0.443 0.430 0.417 0.407 0.397 0.388 0.381 0.374 0.369 0.365 0.362 0.360 0.359 0.358 0.360 0.362 0.365 0.369 0.374 0.381 0.388 0.397 0.407 0.417 0.430 0.443 0.457 0.472 0.489 0.507 0.526 0.546 0.568 0.590 0.614 0.638 0.664 0.691 0.719 0.747 0.776 0.806 0.837 0.869 0.901 0.934 0.967 1.000 0.953 0.896 0.836 0.774 0.710 0.644 0.576 0.507 0.437 0.366 0.294 0.221 0.148 0.074 0.000
0.000 0.000 0.087 0.173 0.259 0.344 0.428 0.510 0.590 0.668 0.743 0.814 0.881 0.943 1.000 0.967 0.934 0.901 0.868 0.835 0.803 0.772 0.741 0.712 0.683 0.655 0.628 0.603 0.578 0.554 0.532 0.511 0.491 0.472 0.454 0.438 0.422 0.408 0.395 0.384 0.373 0.364 0.355 0.348 0.342 0.336 0.332 0.329 0.327 0.326 0.326 0.327 0.329 0.332 0.336 0.341 0.348 0.355 0.364 0.373 0.384 0.395 0.408 0.422 0.438 0.454 0.472 0.491 0.511 0.532 0.554 0.578 0.603 0.628 0.655 0.683 0.712 0.741 0.772 0.803 0.835 0.868 0.901 0.934 0.967 1.000 0.946 0.886 0.824 0.757 0.688 0.617 0.543 0.468 0.392 0.315 0.237 0.158 0.079 0.000
0.000 0.000 0.093 0.186 0.279 0.370 0.459 0.547 0.633 0.716 0.795 0.869 0.937 1.000 0.968 0.936 0.902 0.869 0.835 0.802 0.770 0.738 0.707 0.677 0.649 0.620 0.594 0.568 0.543 0.520 0.498 0.476 0.457 0.438 0.421 0.404 0.390 0.376 0.363 0.352 0.341 0.332 0.324 0.317 0.311 0.306 0.302 0.299 0.297 0.296 0.296 0.297 0.298 0.302 0.305 0.311 0.317 0.324 0.332 0.341 0.351 0.363 0.376 0.390 0.404 0.421 0.438 0.457 0.476 0.498 0.520 0.543 0.568 0.594 0.620 0.649 0.677 0.707 0.738 0.770 0.802 0.835 0.869 0.902 0.936 0.968 1.000 0.941 0.877 0.808 0.735 0.659 0.580 0.501 0.419 0.337 0.254 0.169 0.085 0.000
